money_made_inv,loan_amnt,out_prncp_inv,term,int_rate
-0.622482908655495,14000,0.0,60,16.99
-1.3237670272293487,35000,0.0,60,10.99
272.3299999999999,5000,643.8,36,11.49
-11.08097548619883,6000,0.0,36,15.99
-7517.1,10000,7966.46,36,7.46
2.004433668743362,15000,0.0,36,6.97
2.110162523856188,15000,0.0,36,5.32
5.1861968007568855,5000,0.0,36,10.99
-2.2870453121384617,9200,0.0,36,14.99
5.110033668880329,28800,0.0,60,26.49
-13012.68,16000,13586.82,36,7.84
4.69336775693644,12000,0.0,60,15.61
1.0974101384257626,4000,0.0,36,11.99
-3.450406157723449,24000,0.0,60,14.46
-6873.27,15000,9075.82,36,13.59
-9.016159508686068,17975,0.0,60,18.25
3.813935443602052,10500,0.0,36,9.93
-3.431453918640584,22400,0.0,60,23.13
-3.62802867257475,13000,0.0,60,13.58
-5.631057876860596,4000,0.0,36,14.65
-6.059418884725996,7950,0.0,36,14.46
-10397.98,14000,11242.2,36,10.07
4.511553345340121,6300,0.0,36,21.7
-1.6525401061137492,13700,0.0,36,17.57
5.059875848939188,18000,0.0,36,9.67
8.843307490834205,15000,0.0,36,15.99
-4.643127547140811,20000,0.0,60,13.33
-0.1010409549698598,13000,0.0,60,26.3
0.2417009395420142,14000,0.0,60,12.62
6.133401218275784,10000,0.0,36,10.91
-3402.52,5000,3749.22,36,9.43
5.088519012782591,20000,0.0,60,9.99
-1.722321944842527,32500,0.0,60,11.53
-2236.91,12000,4546.8,36,13.49
1.0137908153558812,7000,0.0,36,10.75
7.482418424724058,15875,0.0,60,22.9
-4.097734618894648,10000,0.0,36,21.99
-1.9718343709465544,24000,0.0,60,11.53
7.614881356307035,4200,0.0,36,7.07
-1.1577021301462551,4500,0.0,36,13.99
4.9636098257080805,12000,0.0,36,9.49
-0.6814696562285728,17000,0.0,36,7.91
-2838.4500000000007,20000,6263.29,36,11.49
-4126.21,6000,4473.9,36,7.96
-1.793743542161691,13600,0.0,60,16.99
-3.42723330288903,14000,0.0,36,15.1
-1182.9499999999998,4000,1852.78,36,12.74
-12545.34,18000,14944.2,36,21.85
-0.3273849762452461,8475,0.0,36,12.99
4.811590572853207,15000,0.0,36,15.99
-4611.87,12000,6132.44,36,10.42
-2.774641975923667,20000,0.0,60,8.18
-0.3753879198959563,24800,0.0,60,24.99
3.988067699778832,16000,0.0,36,9.99
2.153812856306722,20000,0.0,60,8.18
-7712.16,13000,8658.51,36,7.97
-3.2996545400094046,3000,0.0,36,11.39
-1.9231119868787625,8000,0.0,36,29.99
0.2831419656075835,19900,0.0,60,18.25
